Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dracaena-lemonlime,Dracaena Lemonlime,"<p data-mce-fragment=""1"">Dracaenas are popular houseplants that require very minimum care, These plants make an excellent gift</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: very bright location - tolerates lower light levels <br data-mce-fragment=""1"">Water: every two weeks allowing the soil to dry at least half way down in between waterings.</p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in 6 inches pots </p>",JUSTPLANTS,,,"Low light, medium Light, Medium Light Low, Super Easy Care",false,Size,"Medium 6""",,,,,,0.0,shopify,deny,manual,16.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,6.00,active
copy-of-assorted-caladium,Calla Lilly,"Beautiful pitcher flowers with white-speckled, velvet green leaves. Flower colors range from pink to purple to orange.<br data-mce-fragment=""1"">Calla lillies are easy to care for as indoor or outdoor plants. They prefer bright locations in partial sun and moderate watering. 
<p data-mce-fragment=""1""><br></p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: very bright light to partly direct<br data-mce-fragment=""1"">Water: every 7 to 10 days, allowing the soil to dry 1 inch down<br data-mce-fragment=""1"">Toxicity: toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in a 8 inches nursery pot </p>",JUSTPLANTS,,,"",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,16.00,,true,true,'79482550,,,,false,,,,,,,,,,,,,,,,,kg,,8.00,active
philodendron-gigas,Philodendron Gigas,"<p>A beautiful rare Philo with stunning dark velvety leaves, </p>
<p>Light: medium indirect or under grow light</p>
<p>Soil requirements: Fast draining aroid mix</p>
<p>Water: Allow top inch of soil to dry between waterings</p>
<p>Size: Comes in 4 "" nursery pot</p>",JUSTPLANTS,,,"medium Light, New arrivals, philodendron, rare plant, rare plants, Tropical plant, tropical plants",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,22.00,25.00,true,true,'35353782,,,,false,,,,,,,,,,,,,,,,,kg,,10.00,active
philodendron-el-choco-red,Philodendron El Choco Red,"<p data-mce-fragment=""1"">Philodendron el choco red is a climbing Aroid with velvety leaves. The leaves start out with a striking red abaxial leaf surface that is somewhat fading once the leaves mature.<br></p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">CARE:</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Medium to high humidity. It will usually tolerate indoor levels with slight difficulty and will appreciate additional humidity if available. Grows best in 65-80 degrees F and will tolerate as low as 50 degrees for a short period of time. Cold-sensitive and will show it when upset.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Light:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Bright indirect light indoors (north or east-facing windows). Do not leave in direct, all-day sun. Grow in full to partial shade outdoors.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Soil:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Superior aroid mix or superior-draining peat based mix. Some chunky material is required to provide necessary and constant airflow to the roots.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Water:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">This plant is slightly water loving in its native habitat, but indoors should dry out slightly between watering. Soggy or overly damp soil may encourage leaf drop and disease. Decrease water in winter.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Fertilizer:</span><br data-mce-fragment=""1""><span data-mce-fragment=""1"">For proper growth, use a balanced fertilizer ever 1-2 months during the growing period.</span><br data-mce-fragment=""1""><br><br></p>",JUSTPLANTS,,,"Medium Light High, New arrivals, rare plants, Tropical plant",true,Title,Default Title,,,,,"",2000.0,shopify,deny,manual,135.00,,true,true,"",https://cdn.shopify.com/s/files/1/0578/8952/1846/products/CHOCORED.jpg?v=1655237157,1,,false,,,,,,,,,,,,,,,,,kg,,45.00,active
philodendron-el-choco-red,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/CHOCO.jpg?v=1655237157,2,,,,,,,,,,,,,,,,,,,,,,
philodendron-el-choco-red,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/CHOCO22.jpg?v=1655237157,3,,,,,,,,,,,,,,,,,,,,,,
philodendron-el-choco-red,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/CHOKO1.jpg?v=1655237156,4,,,,,,,,,,,,,,,,,,,,,,
philodendron-gloriosum,Philodendron Gloriosum,"<p data-mce-fragment=""1"">It is within the Philodendron genus and is a crawling Philodendron with heartleaf-shaped green velvety foliage and pale to striking white veins. </p>
<p data-mce-fragment=""1"">By crawling we mean creeping on the ground. Its stem grows horizontally along the surface. Philodendrons are either climbers or creepers. This one is a creeper.</p>
<p data-mce-fragment=""1"">The plant is native to Colombia and other tropical parts of the world. Apart from Colombia, it is found in Mexico, Central America as well as Peru, Ecuador, the western parts of Brazil and Venezuela.</p>
<p data-mce-fragment=""1""> Soil: Aroid mix<br>Water: When the soil dried at least half way down<br>Light: Very bright light <br>High humidity </p>
<p data-mce-fragment=""1""> </p>
<p data-mce-fragment=""1"">Sizes: <br>Medium: comes in a 8 inches nursery pot, 14-16 inches tall 4 leaves <br>Small: comes in a 6 inches nursery pot, 4 leaves <br><br></p>",JUSTPLANTS,,,"Medium Light High, New arrivals, rare plants, Tropical plant",true,Size,Small,,,,,"",2000.0,shopify,deny,manual,79.00,99.00,true,true,'66377142,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/GLORIOSUM.jpg?v=1655235865,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/GLORIOSUM2.jpg?v=1655235863,kg,,45.00,active
philodendron-gloriosum,,,,,,,,,Medium,,,,,"",2000.0,shopify,deny,manual,110.00,155.00,true,true,'66409910,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/GLORIOSUM2.jpg?v=1655235863,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/PHILODENDRONGLORIOSUM.jpg?v=1655235863,kg,,45.00,
philodendron-gloriosum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/GLORIOUSUM22.jpg?v=1655235324,3,,,,,,,,,,,,,,,,,,,,,,
